Var1,ASP14_i10_plus_midhigh
r0541,0.7495
r0549,1.9995
r0552,1.9995
r0553,1.9995
r0560,NaN
r0570,1.5265
r0596,1.87
r0645,NaN
r0647,NaN
r0655,1.9595
r0669,2.3545
r0683,1.9595
r0779,1.87
r0784,NaN
r0792,NaN
r0801,1.8075
r0812,1.775
r0817,NaN
r0819,NaN
r0821,NaN
r0822,NaN
r0829,NaN
r0830,NaN
r0838,NaN
r0839,NaN
r0840,NaN
r0841,NaN
r0860,NaN
r0879,NaN
r0881,NaN
r0885,NaN
r0899,NaN
r0911,NaN
r0913,1.3255
r0915,1.3255
r0917,1.3255
r0924,NaN
r0941,NaN
r0942,NaN
r0944,NaN
r0946,NaN
r1030,NaN
r1050,NaN
r1051,NaN
r1052,NaN
r1088,NaN
r1090,1.3255
r1109,NaN
r1143,NaN
r1144,NaN
r1147,1.3255
r1154,0.467
r1155,2.449
r1162,NaN
r1291,NaN
r1421,NaN
r1427,NaN
r1428,NaN
r1429,NaN
r1434,NaN
r1435,NaN
r1453,NaN
r1454,2.449
r1464,NaN
r1493,NaN
r1530,NaN
r1538,NaN
r1544,0.9815
r1546,0.9815
r1547,0.9815
r1548,0.9815
r1549,0.9815
r1551,0.9815
r1552,0.9815
r1553,0.9815
r1554,0.9815
r1556,0.9815
r1557,0.9815
r1559,0.9815
r1560,0.9815
r1561,0.9815
r1562,0.9815
r1563,0.9815
r1564,0.9815
r1565,0.9815
r1566,0.9815
r1567,0.9815
r1568,0.9815
r1569,0.9815
r1570,0.9815
r1571,0.9815
r1573,0.9815
r1574,0.9815
r1575,0.9815
r1576,0.9815
r1578,0.9815
r1579,0.9815
r1580,0.9815
r1581,0.9815
r1583,0.9815
r1584,0.9815
r1585,0.9815
r1586,0.9815
r1587,0.9815
r1588,0.9815
r1589,0.9815
r1590,0.9815
r1591,0.9815
r1592,0.9815
r1593,0.9815
r1594,0.9815
r1595,0.9815
r1596,0.9815
r1597,0.9815
r1598,0.9815
r1599,0.9815
r1600,0.9815
r1602,0.9815
r1603,0.9815
r1604,0.9815
r1605,0.9815
r1606,0.9815
r1607,0.9815
r1608,0.9815
r1609,0.9815
r1610,0.9815
r1611,0.9815
r1612,0.9815
r1613,0.9815
r1614,0.9815
r1615,0.9815
r1616,0.9815
r1617,0.9815
r1618,0.9815
r1619,0.9815
r1620,0.9815
r1621,0.9815
r1622,0.9815
r1623,0.9815
r1624,0.9815
r1625,0.9815
r1626,0.9815
r1627,0.9815
r1628,0.9815
r1629,0.9815
r1630,0.9815
r1631,0.9815
r1632,0.9815
r1633,0.9815
r1634,0.9815
r1635,0.9815
r1636,0.9815
r1637,0.9815
r1638,0.9815
r1639,0.9815
r1640,0.9815
r1641,0.9815
r1642,0.9815
r1643,0.9815
r1644,0.9815
r1645,0.9815
r1646,0.9815
r1647,0.9815
r1648,0.9815
r1649,0.9815
r1650,0.9815
r1651,0.9815
r1652,0.9815
r1653,0.9815
r1654,0.9815
r1655,0.9815
r1656,0.9815
r1657,0.9815
r1658,0.9815
r1659,0.9815
r1660,0.9815
r1661,0.9815
r1662,0.9815
r1664,1.0515
r1665,1.0515
r1666,1.0515
r1667,1.0515
r1668,1.0515
r1669,1.0515
r1670,1.0515
r1671,1.0515
r1672,1.0515
r1673,1.0515
r1674,1.0515
r1675,1.0515
r1676,1.0515
r1677,1.0515
r1678,1.0515
r1679,1.0515
r1680,1.0515
r1681,1.0515
r1682,1.0515
r1683,1.0515
r1684,1.0515
r1685,1.0515
r1686,1.0515
r1687,1.0515
r1690,1.0515
r1691,1.0515
r1692,1.0515
r1693,1.0515
r1695,1.0515
r1696,1.0515
r1698,1.0515
r1700,1.0515
r1701,1.0515
r1702,1.0515
r1705,1.0515
r1706,1.0515
r1707,1.0515
r1708,1.0515
r1710,1.0515
r1711,1.0515
r1713,1.0515
r1715,1.0515
r1716,1.0515
r1717,1.0515
r1720,1.0515
r1721,1.0515
r1722,1.0515
r1723,1.0515
r1725,1.0515
r1726,1.0515
r1728,1.0515
r1730,1.0515
r1731,1.0515
r1732,1.0515
r1733,1.0515
r1734,1.0515
r1735,1.0515
r1736,1.0515
r1737,1.0515
r1738,1.0515
r1739,1.0515
r1740,1.0515
r1741,1.0515
r1742,1.0515
r1743,1.0515
r1744,1.0515
r1745,1.0515
r1746,1.0515
r1747,1.0515
r1748,1.0515
r1749,1.0515
r1750,1.0515
r1751,1.0515
r1752,1.0515
r1753,1.0515
r1754,1.0515
r1755,1.0515
r1756,1.0515
r1757,1.0515
r1758,1.0515
r1759,1.0515
r1760,1.0515
r1761,1.0515
r1762,1.0515
r1763,1.0515
r1764,1.0515
