Var1,ASP14_i10_plus_midlow
LYSt4,NaN
LYStiDF,1.439
LYStm,NaN
MACACI,NaN
MALSO3tm,NaN
MALSO4tm,NaN
MALtm,NaN
MALTSULtm,NaN
MCCCrm,0.48
MDH,2.638
MDHm,2.638
ME1m,0.959
ME2,1.701
ME2m,0.959
METAT,2.216
METLEUex,0.624
METS,1.669
METt4,3.159
METtec,NaN
MGCHrm,NaN
MGSA,NaN
MGSA2,NaN
MMEm,1.078
MMMm,1.586
MMSAD3m,NaN
MMTSADm,NaN
MTHFC,1.99
MTHFD,1.99
MTHGXLt,NaN
NADH2_u10m,0.354
NADHtpu,NaN
NADHtru,NaN
NADPHtru,NaN
NADPtru,NaN
NADtpu,NaN
NADtru,NaN
NAHCO3_HCLt,NaN
NAt,2.476
NAt3_1,0.771
NAt5,0.771
NCCt,NaN
NDPK1,1.887
NDPK1m,1.825
NDPK2,1.887
NDPK3,1.887
NDPK4,1.887
NDPK5,1.887
NDPK8,1.887
NDPK9,1.887
NH4t3r,NaN
NH4tp,NaN
NKCC2t,1.565
NRPPHRt4_2_r,NaN
NRPPHRtu,NaN
NRPPHRVESSEC,0.851
NTD7,1.483
O2St,NaN
O2Stm,NaN
O2Stx,NaN
O2t,NaN
O2ter,NaN
O2tm,NaN
O2tp,NaN
OBDHc,NaN
OCBTm,NaN
OIVD1m,1.148
OIVD2m,1.148
OIVD3m,1.148
ORNDC,1.668
ORNt3m,NaN
ORNt4m,NaN
ORNTArm,2.426
ORNtiDF,1.439
OXAHCOtex,1.456
P5CDm,NaN
P5CRm,1.184
P5CRxm,1.184
PCLAD,NaN
PCm,NaN
PCREATtmdiffir,NaN
PDHm,1.598
PE_HStm,NaN
PEPCK,NaN
PEPCKm,NaN
PFK,1.947
PGCD,2.183
PGI,2.505
PGK,2.671
PGL,0.805
PGLer,NaN
PGM,2.257
PHEt4,3.159
PHEtec,NaN
PIt7,NaN
PIter,NaN
PPA,2.391
PPAm,2.167
PPCOACm,NaN
PPCOAOm,1.83
PPItr,NaN
PPM,1.246
PRFGS,1.266
PRO1xm,NaN
PROD2m,NaN
PROt2r,NaN
PROt4,3.159
PRPNCOAHYDm,2.379
PRPPS,1.616
PSERT,1.938
PSFLIPm,NaN
PSP_L,1.608
PTRCOX1,NaN
PUNP1,1.382
PYK,3.105
PYRt2m,2.421
PYRt2p,2.421
PYRt2r,2.421
RETNt,NaN
RPE,1.908
RPI,NaN
SACCD3m,1.669
SACCD4m,1.669
SARCStm,NaN
SARDHm,NaN
SERALANaEx,1.977
SERASNNaEx,1.977
SERCYSNaEx,1.977
SERGLNexR,1.981
SERGLNNaEx,1.977
SERGLYexR,1.981
SERHL,NaN
SERLYSNaex,NaN
SERt4,3.159
SERTHRNaEx,1.977
SERtN1,NaN
SO4CLtex2,NaN
SO4HCOtex,1.456
SO4OXAtex2,NaN
SO4t4_2,NaN
SPMDOX,NaN
SPMS,1.5
SPODM,2.715
SPODMe,NaN
SPODMm,1.654
SPODMx,2.715
SPRMS,2.429
SUCCt2m,NaN
SUCCt4_2,NaN
SUCD1m,0.705
SUCOAS1m,0.779
SUCOASm,1.697
SULFOX,NaN
TALA,2.215
THD1m,1.583
