Var1,ASP14_i10_plus_low
3SALAOX,NaN
3SALATAi,1.6925
3SALATAim,2.0515
3SPYRSP,NaN
3SPYRSPm,NaN
41R1H2MAE12BOOX,NaN
41R2A1H12BOOX,NaN
42A12BOOX,NaN
4ABUTtm,NaN
4HBZCOAFm,NaN
4HBZFm,NaN
4HDEBRISOQUINEte,NaN
4HGLSDm,NaN
4HOXPACDOX_NADP,NaN
4MOPt2im,NaN
4MPTNLte,NaN
4MPTNLtm,NaN
4MPTNLtr,NaN
4MTOLBUTAMIDEte,NaN
4NPHSFte,NaN
4NPHSULT,NaN
4NPHte,NaN
4PYRDX,NaN
5ADTSTSTERONEGLCte,0.8605
5ADTSTSTERONEGLCtr,NaN
5ADTSTSTERONESte,NaN
5ADTSTSTERONESULT,NaN
5ADTSTSTERONEte,NaN
5ADTSTSTERONEtr,NaN
5AOPtm,NaN
5DHFtl,NaN
5FTHFt2,NaN
5HLTDL,NaN
5HOMEPRAZOLEte,NaN
5HOXINDACTO2OX,NaN
5HOXINDACTOXm,1.2515
5HOXINOXDA,NaN
5HTRPDOX,NaN
5HTRPVESSEC,0.4975
5HXKYNDCL,NaN
5HXKYNOXDA,NaN
5MTHFt,NaN
5MTHFt2,NaN
5THFtl,NaN
5THFtm,NaN
6DHFtl,NaN
6DHFtm,NaN
6HTSTSTERONEte,NaN
6HTSTSTERONEtr,NaN
6THFtl,NaN
6THFtm,NaN
7DHCHSTEROLtr,NaN
7DHFtl,NaN
7DHFtm,NaN
7THFtl,NaN
7THFtm,NaN
A_MANASE,NaN
A_MANASEly,NaN
A4GALTc,NaN
A4GALTg,NaN
A4GNT1g,NaN
A4GNT2g,NaN
AACOAT,NaN
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,NaN
ABO1g,NaN
ABO2g,NaN
ABO3g,NaN
ABO4g,NaN
ABO5g,NaN
ABO6g,NaN
ABO7g,NaN
ABO8g,NaN
ABO9g,NaN
ABTArm,NaN
ABTD,NaN
ABTti,NaN
ABUTD,1.4565
ABUTt2r,NaN
ABUTt2rL,NaN
ABUTt4_2_r,NaN
ACACT10m,2.375
ACACT1r,1.7065
ACACT1rm,2.375
ACACT1x,1.7065
ACACt2,2.384
ACACt2m,2.384
ACACT4p,NaN
ACACT5p,NaN
ACACT6p,NaN
ACACT7p,NaN
ACACT8p,NaN
ACACT9p,NaN
ACACtx,NaN
ACALDt,NaN
ACALDtm,NaN
ACALDtr,NaN
ACALDtx,NaN
ACCOAC,0.8825
ACCOACm,NaN
ACCOAgt,1.4485
ACCOAL,NaN
ACCOALm,NaN
ACCOAtn,NaN
ACCOAtr,1.4485
ACETONEt2,2.384
ACETONEt2m,2.384
ACGAGBSIDEtg,NaN
ACGAGBSIDEtl,NaN
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,NaN
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,NaN
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,NaN
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,NaN
ACGALK,NaN
ACGALK2,NaN
ACGALtlg,NaN
ACGALtly,NaN
ACGAM2E,NaN
ACGAM6PSi,1.5275
ACGAMK,1.894
ACGAMPM,2.3845
ACGAMtly,NaN
ACGBGBSIDEtg,NaN
ACGBGBSIDEtl,NaN
ACGPID,0.343
ACGSm,NaN
ACHEe,NaN
ACHtn,NaN
ACHVESSEC,NaN
ACITL,2.008
ACN13ACNGALGBSIDEte,NaN
ACN13ACNGALGBSIDEtg,NaN
ACN23ACNGALGBSIDEte,NaN
ACN23ACNGALGBSIDEtg,NaN
ACNACNGAL14ACGLCGALGLUSIDEte,NaN
ACNACNGAL14ACGLCGALGLUSIDEtg,NaN
ACNACNGALGBSIDEte,NaN
ACNACNGALGBSIDEtg,NaN
ACNAM9PL,1.134
ACNAM9PL2,1.134
ACNAMlt,1.243
ACNAMPH,0.352
ACNAMtn,NaN
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,NaN
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,NaN
ACNMLr,NaN
ACOAD10m,1.756
ACOAD1fm,1.756
ACOAD8m,1.466
ACOAD9m,1.756
ACOAHi,NaN
ACOAO7p,1.5565
ACOATA,0.285
ACODA,NaN
ACONT,1.732
ACONTm,1.3735
ACOX22x,NaN
ACOX2x,NaN
ACP1_FMN,2.4495
ACRNtm,NaN
ACS,NaN
ACS2,NaN
ACSm,NaN
ACSOMT,NaN
ACSRTNMT,NaN
ACt2m,NaN
ACt2r,NaN
ACtg,NaN
ACTLMO,NaN
ACTNMO,NaN
ACYP,0.878
ADA,1.0075
ADAe,1.0075
ADCim,NaN
ADEt,NaN
ADEtl,NaN
ADHAPtx,NaN
ADK1,2.316
ADK1m,2.316
ADK3,0.549
ADK3m,1.8485
ADKd,0.549
ADMDC,2.2005
ADNCYC,NaN
ADNK1,2.085
ADNK1m,NaN
ADNt,NaN
ADNt4,NaN
ADNtl,NaN
ADNtm,NaN
ADPGLC,2.0195
