"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
4.86168723372597e-26 0.272258169450928 1 0.98 8.95620022196998e-22 "1" "CSRNP1"
1.21021060846336e-25 0.420475571847033 0.895 0.752 2.22944998291121e-21 "1" "TXNIP"
3.88365067899676e-25 0.492007316704124 0.96 0.938 7.15446128084784e-21 "1" "NR4A2"
4.29065882292617e-25 0.340210635827049 0.774 0.568 7.90425168359459e-21 "1" "DAB2"
7.68654058365116e-25 0.374653097114097 0.935 0.884 1.41601450632022e-20 "1" "ENO2"
1.04557713663273e-24 0.28869751337939 0.794 0.59 1.92616220110482e-20 "1" "NBL1"
2.38817325864169e-24 0.931249711014581 0.633 0.469 4.39949277706973e-20 "1" "CA9"
3.08739409384032e-24 0.316116693679169 0.532 0.279 5.68759739967263e-20 "1" "VEGFA"
6.7561712659078e-24 0.673489933253105 1 0.999 1.24462187060554e-19 "1" "BNIP3"
1.5242868544139e-23 0.402077910597503 0.851 0.63 2.80804124320129e-19 "1" "RGS16"
4.33367071202611e-23 0.276580423319449 0.782 0.585 7.9834881856945e-19 "1" "PTPRR"
7.12912767716374e-23 0.310486427356748 0.992 0.971 1.3133279006871e-18 "1" "CMB9-22P13.1"
1.47827966773452e-22 0.294855247068619 0.923 0.835 2.72328680390053e-18 "1" "CES4A"
1.80442858903364e-22 0.346770745090428 1 0.983 3.32411834671777e-18 "1" "BTG2"
1.9668244298684e-22 0.285201561121152 0.774 0.582 3.62328396470356e-18 "1" "TMEM159"
7.26912399884988e-22 0.408340810997273 0.984 0.934 1.33911802306812e-17 "1" "DDIT4"
1.48943540894517e-21 0.275920252999241 0.645 0.391 2.7438379103588e-17 "1" "VSIG10L"
1.25299511588874e-20 0.302481960628667 1 0.984 2.30826760249023e-16 "1" "CDKN1A"
2.59750186612829e-20 0.488549979017166 0.762 0.708 4.78511793778154e-16 "1" "PDGFRB"
2.79524963915412e-20 0.409215421215139 0.855 0.659 5.14940888524972e-16 "1" "PRND"
4.29405524715691e-20 0.281533020477734 0.585 0.352 7.91050857631247e-16 "1" "RBMS1"
6.28993223232795e-20 0.395325256286311 1 0.995 1.15873131583946e-15 "1" "CCL2"
1.40887514104237e-19 0.374867243763261 1 1 2.59542978482826e-15 "1" "FAM162A"
4.5776087272165e-19 0.26918148903652 0.875 0.802 8.43287079727823e-15 "1" "MEF2A"
1.00187890135521e-18 0.299764374690202 0.484 0.27 1.84566131207657e-14 "1" "PDK1"
8.91803799651533e-18 0.32685611458683 0.996 0.999 1.64288095971805e-13 "1" "TAF1D"
2.94494361088818e-17 0.295612176437777 0.988 0.954 5.42517511997821e-13 "1" "TMEM100"
3.05592588528824e-17 0.346371731371884 0.794 0.693 5.629626665878e-13 "1" "MSX2"
2.23637119982029e-16 0.438830864005304 1 1 4.11984302430893e-12 "1" "ALDOA"
3.76908256107149e-16 0.63180816916558 0.899 0.861 6.9434038940059e-12 "1" "VIM"
3.97996912221188e-16 0.311863476302679 0.931 0.862 7.33189911693873e-12 "1" "RHOB"
4.18131254072131e-15 0.334481514885533 0.827 0.754 7.7028139625168e-11 "1" "COL6A2"
7.38413750269493e-13 0.354547984151286 0.891 0.873 1.36030581074646e-08 "1" "HSPA1A"
4.15910350777302e-12 0.366466310678048 0.883 0.841 7.66190048201945e-08 "1" "MAFF"
1.52482741233082e-07 0.344524180293263 0.948 0.877 0.00280903705899583 "1" "CCL7"
6.18839995822038e-180 0.923626226313603 0.979 0.043 1.14002704030336e-175 "2" "MCM10"
6.79589769970699e-171 0.816212104907835 0.979 0.049 1.25194027424002e-166 "2" "DTL"
3.0985726003177e-148 0.895448483760939 0.969 0.066 5.70819044430527e-144 "2" "FAM111B"
