"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
1.02673288359449e-126 0.667061237646206 1 0.91 1.02252327877176e-122 "1" "CA9"
4.54755236783679e-125 0.560597239726287 1 1 4.52890740312866e-121 "1" "IFI16"
3.589830247276e-121 0.335543759800518 1 0.991 3.57511194326217e-117 "1" "AC074387.1"
3.78787814464761e-120 0.576573660387449 1 1 3.77234784425456e-116 "1" "TMEM91"
4.72612679603692e-119 0.501299778096665 1 0.995 4.70674967617317e-115 "1" "ZNF395"
1.67698462024737e-117 0.362578387746226 1 1 1.67010898330436e-113 "1" "RPS9"
3.60023982847791e-117 0.627013529406233 1 1 3.58547884518115e-113 "1" "ID2"
8.73007555451342e-115 0.43116967311064 1 1 8.69428224473991e-111 "1" "PPP2R2A"
4.34960242517394e-114 0.431162365596967 1 0.993 4.33176905523073e-110 "1" "NCAM1"
3.56337632864584e-113 0.339649542483302 0.989 0.803 3.54876648569839e-109 "1" "NCMAP"
4.31189293359232e-111 0.425919038088251 1 0.992 4.29421417256459e-107 "1" "ICAM5"
1.85497432365088e-106 0.60375788467362 1 1 1.84736892892391e-102 "1" "EPB41L4A-AS1"
3.43228625397793e-106 0.409274506562813 0.983 0.706 3.41821388033662e-102 "1" "IL1RL1"
4.55027591734365e-106 0.292788537276664 1 0.988 4.53161978608254e-102 "1" "NIPAL3"
7.26048422740596e-106 0.285212136595044 1 0.953 7.2307162420736e-102 "1" "WDR86"
5.7822152388234e-105 0.426315585301069 1 1 5.75850815634422e-101 "1" "RPL41"
3.25603145067049e-103 0.393134571413289 1 1 3.24268172172274e-99 "1" "EIF1"
4.66145808339432e-103 0.594878237926183 1 1 4.64234610525241e-99 "1" "ZFAS1"
2.66781892428754e-102 0.520881910827109 0.991 0.875 2.65688086669796e-98 "1" "HCAR3"
9.61078487205272e-100 0.588352661497679 1 1 9.57138065407731e-96 "1" "GAS5"
2.9398278009799e-99 0.503019497970181 1 1 2.92777450699588e-95 "1" "SNHG1"
1.34753455668591e-97 0.490171806932663 1 1 1.34200966500349e-93 "1" "LY96"
1.86213373935841e-97 0.659953027223494 1 1 1.85449899102704e-93 "1" "NRN1"
2.59779843264571e-97 0.465876140672522 1 1 2.58714745907187e-93 "1" "SNHG7"
4.77944807597635e-94 0.53841777734743 0.996 0.928 4.75985233886485e-90 "1" "HCAR2"
1.2714688985353e-93 0.427692358476534 1 1 1.2662558760513e-89 "1" "TAF1D"
3.36142921450859e-93 0.411345628212119 1 1 3.3476473547291e-89 "1" "RPL12"
7.89657859804351e-93 0.408448787186674 1 1 7.86420262579153e-89 "1" "RBM11"
1.22602315000967e-91 0.336879007626416 1 1 1.22099645509464e-87 "1" "SNHG12"
2.22110181143663e-91 0.368356464086678 1 1 2.21199529400974e-87 "1" "MXI1"
5.14675208136951e-89 0.385508619783871 1 1 5.12565039783589e-85 "1" "SNHG29"
4.31391718184193e-88 0.361438350289605 1 1 4.29623012139638e-84 "1" "RPS27"
1.10300481193085e-87 0.360316404121166 1 0.991 1.09848249220193e-83 "1" "GBP2"
2.33772793158173e-85 0.506458256811234 1 1 2.32814324706224e-81 "1" "SLC2A3"
2.91109711777146e-85 0.287265393221325 1 1 2.8991616195886e-81 "1" "RPL28"
1.57850417457464e-84 0.375020031808567 1 1 1.57203230745888e-80 "1" "ASGR1"
6.16169550573088e-84 0.347671686181877 1 1 6.13643255415739e-80 "1" "RPS18"
7.31577958645309e-83 0.312885085411954 1 0.999 7.28578489014863e-79 "1" "BACH1"
9.80491543269519e-80 0.488519688757903 1 1 9.76471527942114e-76 "1" "HLA-E"
2.18838707889122e-79 0.272750493848838 1 1 2.17941469186777e-75 "1" "RCAN3"
7.008108231306e-78 0.30062086848924 1 1 6.97937498755764e-74 "1" "RPL26"
1.83771131133922e-77 0.305932049737315 1 1 1.83017669496273e-73 "1" "RPS24"
2.73945891118717e-77 0.292349046619608 1 0.999 2.72822712965131e-73 "1" "LPAR6"
3.80687797477793e-76 0.748102567544328 1 0.999 3.79126977508134e-72 "1" "NDRG1"
5.48185827926023e-74 0.504353603053901 1 1 5.45938266031526e-70 "1" "DUSP1"
1.12337372918406e-72 0.44021179681483 1 1 1.1187678968944e-68 "1" "FOS"
5.61712058259073e-71 1.03591262598462 1 0.996 5.59409038820211e-67 "1" "AKAP12"
1.4333500868921e-70 0.287955618978539 1 1 1.42747335153584e-66 "1" "CACNG3"
1.68801209037647e-70 0.284254221127037 1 0.993 1.68109124080592e-66 "1" "SLC1A3"
2.28944285135271e-69 0.367856194606028 1 1 2.28005613566216e-65 "1" "RAB13"
7.89360477178296e-65 0.700878265227413 1 1 7.86124099221865e-61 "1" "LINC00659"
1.16708239231112e-63 0.355692912621973 1 1 1.16229735450264e-59 "1" "LMO2"
5.86826114186565e-63 0.37511897253356 1 0.999 5.844201271184e-59 "1" "RND3"
2.50692526011885e-61 0.288999690555617 1 0.999 2.49664686655236e-57 "1" "LDB2"
2.86937173589805e-59 0.292323314697621 1 1 2.85760731178087e-55 "1" "LINC00632"
5.1471219372792e-59 0.320463722169151 1 1 5.12601873733636e-55 "1" "AGPAT2"
1.65482195956942e-58 0.383455034731534 1 1 1.64803718953518e-54 "1" "PAPPA"
3.27901112925691e-58 0.300663745173116 1 0.999 3.26556718362696e-54 "1" "HIST1H2BD"
7.16834445651972e-58 0.407439225778994 1 1 7.13895424424799e-54 "1" "FAM13A"
3.05495887500302e-57 0.317426682585988 0.996 0.979 3.0424335436155e-53 "1" "DIRC3"
6.01951857592385e-55 0.365213407583193 1 0.993 5.99483854976256e-51 "1" "GREB1"
1.12236818642499e-54 0.368280733410706 0.996 0.995 1.11776647686065e-50 "1" "LMCD1"
1.41539483944501e-54 0.357171350672337 1 1 1.40959172060329e-50 "1" "MALAT1"
3.28000541421892e-54 0.384520496630208 1 1 3.26655739202062e-50 "1" "BTG1"
7.25878999896525e-54 0.317612384376963 1 1 7.22902895996949e-50 "1" "PRMT2"
7.42664199896623e-53 0.324478626750155 0.998 0.998 7.39619276677047e-49 "1" "LAMB3"
1.96062210523146e-51 0.29619054616697 1 1 1.95258355460001e-47 "1" "FTL"
2.9203182706829e-50 0.574487540251316 1 1 2.9083449657731e-46 "1" "SOD2"
9.84116880034235e-50 0.364207476231343 1 0.997 9.80082000826094e-46 "1" "NFIL3"
1.20910393859788e-48 0.830894694836819 0.994 0.968 1.20414661244963e-44 "1" "CCL7"
2.52471273343177e-48 0.304469027910252 1 1 2.5143614112247e-44 "1" "PPP1R3B"
5.23773016055274e-48 0.373335327968159 1 1 5.21625546689448e-44 "1" "NAMPT"
8.10344025958832e-48 0.32772031558631 1 1 8.07021615452401e-44 "1" "IFITM1"
1.7145040299343e-47 0.536624104248089 1 1 1.70747456341157e-43 "1" "SOCS3"
1.92407715445245e-47 0.354374589340392 1 1 1.91618843811919e-43 "1" "PLSCR4"
1.78278286132424e-43 0.58012451320146 0.994 0.982 1.77547345159281e-39 "1" "EGR1"
6.40007514932873e-43 0.271893358046353 1 1 6.37383484121648e-39 "1" "OAS1"
2.05978502376217e-42 0.752099576966215 0.959 0.929 2.05133990516475e-38 "1" "AREG"
4.17663764128166e-40 0.36727164654788 1 0.997 4.1595134269524e-36 "1" "CDKN1A"
2.13417079164971e-39 0.351939308395006 0.808 0.662 2.12542069140394e-35 "1" "CXCL8"
9.13780512154394e-37 0.31128352695838 1 0.994 9.10034012054561e-33 "1" "SERPINE1"
1.92786710767497e-36 0.273520960653738 1 1 1.9199628525335e-32 "1" "S100A10"
2.36838184647408e-36 0.293068216757581 1 0.999 2.35867148090354e-32 "1" "ARRDC3"
2.43383177306465e-34 0.674435353788955 0.996 0.999 2.42385306279509e-30 "1" "CCL2"
4.98587099640277e-34 0.390617962428375 1 1 4.96542892531752e-30 "1" "JUNB"
5.07410658561048e-33 0.349043834137048 1 1 5.05330274860948e-29 "1" "CAV1"
1.26649071515785e-30 0.322390125617806 1 1 1.2612981032257e-26 "1" "HIST1H2AC"
2.56975856011658e-30 0.350048966595466 1 0.992 2.55922255002011e-26 "1" "SAMD12"
5.57342341697387e-30 0.270830620623006 1 1 5.55057238096428e-26 "1" "ADM"
1.04804246924763e-27 0.336608302270297 1 1 1.04374549512372e-23 "1" "IDI1"
7.42706092630177e-27 0.525979804499518 1 1 7.39660997650393e-23 "1" "IGFBP5"
1.96429132092573e-23 0.274141726059739 0.998 1 1.95623772650993e-19 "1" "DDIT4"
4.55127437012297e-23 0.41496312799697 1 0.999 4.53261414520547e-19 "1" "HOOK1"
3.00097496465617e-17 0.27584659697121 0.989 0.991 2.98867096730108e-13 "1" "TRIB1"
1.71141295012786e-15 0.671626138904468 1 1 1.70439615703233e-11 "1" "G0S2"
2.23851560064695e-100 0.755915552284439 1 1 2.2293376866843e-96 "2" "HSPA1A"
2.50249880609312e-80 0.400279524240361 1 0.996 2.49223856098814e-76 "2" "HSPA1B"
5.34326989629124e-72 0.485965288600244 1 1 5.32136248971644e-68 "2" "MT-ND3"
1.56191424744365e-60 0.304021446217779 1 1 1.55551039902913e-56 "2" "GAS1"
1.76886894020508e-60 0.483373229582097 1 1 1.76161657755024e-56 "2" "TSPAN13"
1.88984800331136e-59 0.298682225119759 1 0.999 1.88209962649778e-55 "2" "MAPT"
1.41553220380514e-56 0.335006869453274 1 1 1.40972852176954e-52 "2" "PERP"
3.6369509095959e-52 0.349824561952562 1 0.999 3.62203941086655e-48 "2" "RCN3"
6.94321782233952e-51 0.256626428409101 1 1 6.91475062926793e-47 "2" "GSTM3"
2.52764445169626e-47 0.427471759570697 1 1 2.5172811094443e-43 "2" "MT-CO1"
2.69771407395124e-47 0.3094628463203 1 1 2.68665344624804e-43 "2" "PPP1R1A"
3.03703030700139e-43 0.347681112091267 1 1 3.02457848274268e-39 "2" "SELENOP"
8.72508860051168e-43 0.438634797037595 1 1 8.68931573724958e-39 "2" "MT-ATP6"
4.27519711490519e-42 0.323467283281964 1 1 4.25766880673408e-38 "2" "CKB"
7.22436136958145e-42 0.363003653580094 1 1 7.19474148796616e-38 "2" "HSPB1"
7.42229461870337e-42 0.425877101679578 1 1 7.39186321076668e-38 "2" "ALDH7A1"
9.98953977512532e-42 0.613139206437237 1 0.994 9.9485826620473e-38 "2" "NMB"
