""	"symbol"	"gene_number"
"ETFDH"	"ETFDH"	"2110.1"
"COQ3"	"COQ3"	"51805.1"
"ETNK1"	"ETNK1"	"55500.1"
"ASAH1"	"ASAH1"	"427.2"
"ETNK2"	"ETNK2"	"55224.1"
"ASAH1"	"ASAH1"	"427.1"
"COQ6"	"COQ6"	"51004.1"
"TNNI3K"	"TNNI3K"	"51086.1"
"COQ6"	"COQ6"	"51004.2"
"FPGT"	"FPGT"	"8790.1"
"COQ7"	"COQ7"	"10229.1"
"SLC23A2"	"SLC23A2"	"9962.2"
"ACSL3"	"ACSL3"	"2181.1"
"GCNT3"	"GCNT3"	"9245.1"
"GCNT1"	"GCNT1"	"2650.1"
"GCNT4"	"GCNT4"	"51301.1"
"ACSL4"	"ACSL4"	"2182.1"
"SLC23A1"	"SLC23A1"	"9963.2"
"SLC23A1"	"SLC23A1"	"9963.1"
"SLC23A2"	"SLC23A2"	"9962.1"
"ACSL1"	"ACSL1"	"2180.1"
"B3GNT6"	"B3GNT6"	"192134.1"
"ACSL3"	"ACSL3"	"2181.2"
""	""	"386757.1"
"ASRGL1"	"ASRGL1"	"80150.1"
"ACSL5"	"ACSL5"	"51703.1"
"ACSBG2"	"ACSBG2"	"81616.1"
"ACSL6"	"ACSL6"	"23305.1"
"ASNS"	"ASNS"	"440.1"
"SLC6A8"	"SLC6A8"	"6535.1"
"ACSL4"	"ACSL4"	"2182.2"
"CRAT"	"CRAT"	"1384.1"
"ASNS"	"ASNS"	"440.3"
"ACSM1"	"ACSM1"	"116285.1"
"ASNS"	"ASNS"	"440.2"
"SLC22A4"	"SLC22A4"	"6583.1"
"ENPP1"	"ENPP1"	"5167.1"
"CAD"	"CAD"	"790.1"
"ENPP3"	"ENPP3"	"5169.1"
"ELOVL2"	"ELOVL2"	"54898.1"
"SLC1A6"	"SLC1A6"	"6511.1"
"CS"	"CS"	"1431.2"
"CS"	"CS"	"1431.1"
"ELOVL4"	"ELOVL4"	"6785.1"
"SLC1A1"	"SLC1A1"	"6505.1"
"CROT"	"CROT"	"54677.1"
"ELOVL5"	"ELOVL5"	"60481.1"
"CRAT"	"CRAT"	"1384.2"
"SLC1A3"	"SLC1A3"	"6507.1"
"ELOVL6"	"ELOVL6"	"79071.1"
"CRAT"	"CRAT"	"1384.3"
"CYP4A11"	"CYP4A11"	"1579.1"
"SLC1A7"	"SLC1A7"	"6512.1"
"FASN"	"FASN"	"2194.1"
"SLC1A2"	"SLC1A2"	"6506.1"
"SLC27A1"	"SLC27A1"	"376497.2"
"SLC27A1"	"SLC27A1"	"376497.1"
"ATP6V0A4"	"ATP6V0A4"	"50617.1"
"SLC27A4"	"SLC27A4"	"10999.1"
"ATP6V1B1"	"ATP6V1B1"	"525.1"
"SLC27A3"	"SLC27A3"	"11000.1"
"ALDOC"	"ALDOC"	"230.1"
"ATP6V1H"	"ATP6V1H"	"51606.2"
"ALDOA"	"ALDOA"	"226.2"
"ATP6V1G3"	"ATP6V1G3"	"127124.1"
