Var1,ASP14_i10_plus_midlow
ATP2ter,NaN
ATPasel,2.083
ATPH1e,0.549
ATPH2e,0.549
ATPtm,2.825
ATPtn,NaN
ATPtx,NaN
AVITE2t,NaN
B_MANNASEly,1.447
B3GALT3g,NaN
B3GALT41g,NaN
B3GALT42g,NaN
B3GALT43g,NaN
B3GALT44g,NaN
B3GALT5g,NaN
B3GALTg,NaN
B3GNT11g,NaN
B3GNT12g,0.926
B3GNT310g,NaN
B3GNT311g,NaN
B3GNT312g,NaN
B3GNT313g,NaN
B3GNT314g,NaN
B3GNT315g,NaN
B3GNT31g,NaN
B3GNT32g,NaN
B3GNT33g,NaN
B3GNT34g,NaN
B3GNT35g,NaN
B3GNT36g,NaN
B3GNT37g,NaN
B3GNT39g,NaN
B3GNT51g,0.276
BAAT1x,NaN
BAAT2x,NaN
BAAT3x,NaN
BAAT4x,NaN
BACCL,0.411
BACCLm,0.411
BALAtmr,NaN
BALAVECSEC,NaN
BAMPPALDOX,1.989
BBHOX,NaN
BCDO,NaN
BDHm,NaN
BETALDHxm,NaN
BHBt,NaN
BHBtm,NaN
BHMT,NaN
BILDGLCURt,NaN
BILDGLCURte,0.725
BILDGLCURtr,NaN
BILGLCURt,NaN
BILGLCURte,0.725
BILGLCURtr,NaN
BILIRED,1.882
BILIRUBt2,NaN
BILIRUBtr,NaN
BIOCYTtn,NaN
BMTer_U,NaN
BPNT2,1.18
BTND1,1.342
BTND1n,1.342
BTNDe,1.342
BTNDm,1.342
BTNPL,0.411
BTNPLm,0.411
BTNt2,2.421
BTNt2m,2.421
BTNt3i,1.542
BTNt4i,NaN
BTNtn,NaN
BUP2,NaN
BUTt2m,2.421
BVITEt,NaN
BZt,NaN
BZtr,NaN
C14STRr,NaN
C160CPT1,0.626
C160CPT2,0.626
C160CRNt,NaN
C161CPT1,0.626
C161CPT12,0.626
C161CPT2,NaN
C161CPT22,NaN
C161CRN2t,NaN
C161CRNt,NaN
C180CPT1,0.626
C180CPT2,NaN
C180CRNt,NaN
C181CPT1,0.626
C181CPT2,NaN
C181CRNt,NaN
C204CPT1,0.626
C204CPT2,NaN
C204CRNt,NaN
C226COAtx,NaN
C226CPT1,0.626
C226CPT2,NaN
C226CRNt,NaN
C3STDH1Pr,1.59
C3STDH1r,1.59
C3STKR2r,1.868
C4STMO1r,2.256
C4STMO2Pr,1.59
C4STMO2r,2.256
CAATPS,2.459
CAROtr,NaN
CARVEOLte,NaN
CAT2p,1.868
CAt7r,NaN
CATm,1.868
CATp,1.868
CBL2OR,NaN
CBL2tm,NaN
CBPPer,1.594
CBPSam,NaN
CBPter,NaN
CBR2,1.706
CDIPTr,1.094
CDPDAGtm,NaN
CDS,2.147
CDSm,2.147
CEPTC,0.995
CEPTE,0.995
CERK,1.459
CERT1gt,1.462
CERT1rt,1.462
CERT2gt,1.462
CERT2rt,1.462
CGLYt3_2,NaN
CH25H,NaN
CHAT,NaN
CHATn,NaN
CHLP,NaN
CHLPCTD,0.734
CHLtm,NaN
CHOLATEt,NaN
CHOLATEt2,NaN
CHOLATEt3,NaN
CHOLD2m,NaN
CHOLK,NaN
CHOLPtg,NaN
CHOLPtl,NaN
CHOLt4,NaN
CHOLtg,NaN
CHOLtn,NaN
CHOLtr,NaN
CHOLtu,NaN
CHSTEROLSULT,NaN
CHSTEROLt1,NaN
CHSTEROLt2,NaN
