Var1,ASP14_i10_plus_midhigh
NADPHtru,NaN
NADPtru,NaN
NADtpu,NaN
NADtru,NaN
NAHCO3_HCLt,NaN
NAt,2.289
NAt3_1,0.7355
NAt5,0.284
NCCt,NaN
NDPK1,1.8955
NDPK1m,1.8645
NDPK2,1.8955
NDPK3,1.8955
NDPK4,1.8955
NDPK5,1.8955
NDPK8,1.8955
NDPK9,1.8955
NH4t3r,NaN
NH4tp,NaN
NKCC2t,1.6245
NRPPHRt4_2_r,NaN
NRPPHRtu,NaN
NRPPHRVESSEC,0.9165
NTD7,1.423
O2St,NaN
O2Stm,NaN
O2Stx,NaN
O2t,NaN
O2ter,NaN
O2tm,NaN
O2tp,NaN
OBDHc,NaN
OCBTm,NaN
OIVD1m,1.029
OIVD2m,1.029
OIVD3m,1.029
ORNDC,1.663
ORNt3m,NaN
ORNt4m,NaN
ORNTArm,2.3165
ORNtiDF,1.455
OXAHCOtex,1.9345
P5CDm,NaN
P5CRm,1.0685
P5CRxm,1.0685
PCLAD,NaN
PCm,NaN
PCREATtmdiffir,NaN
PDHm,1.5975
PE_HStm,NaN
PEPCK,NaN
PEPCKm,0.3
PFK,1.8795
PGCD,2.3975
PGI,2.5835
PGK,2.6785
PGL,0.756
PGLer,0.4075
PGM,2.2035
PHEt4,3.135
PHEtec,NaN
PIt7,NaN
PIter,0.3235
PPA,2.37
PPAm,2.165
PPCOACm,NaN
PPCOAOm,1.9445
PPItr,NaN
PPM,1.5265
PRFGS,1.484
PRO1xm,NaN
PROD2m,NaN
PROt2r,NaN
PROt4,3.135
PRPNCOAHYDm,2.4335
PRPPS,1.9165
PSERT,2.337
PSFLIPm,NaN
PSP_L,1.6475
PTRCOX1,NaN
PUNP1,1.0075
PYK,3.0285
PYRt2m,2.4145
PYRt2p,2.4145
PYRt2r,2.4145
RETNt,NaN
RPE,1.9845
RPI,0.1045
SACCD3m,1.852
SACCD4m,1.852
SARCStm,NaN
SARDHm,NaN
SERALANaEx,1.976
SERASNNaEx,1.976
