Var1,ASP14_i10_plus_high
EX_leu_L_e,NaN
EX_lys_L_e,NaN
EX_met_L_e,NaN
EX_mthgxl_e,NaN
EX_nh4_e,NaN
EX_o2_e,NaN
EX_o2s_e,NaN
EX_orn_e,NaN
EX_phe_L_e,NaN
EX_pi_e,NaN
EX_pro_L_e,NaN
EX_pyr_e,NaN
EX_ser_L_e,NaN
EX_so4_e,NaN
EX_succ_e,NaN
EX_thr_L_e,NaN
EX_trp_L_e,NaN
EX_tyr_L_e,NaN
EX_urea_e,NaN
EX_val_L_e,NaN
FALDtm,NaN
FBA,3.229
FBP,NaN
FDH,NaN
FKYNH,1.674
FORtr,NaN
FTCD,NaN
FTHFDH,NaN
FUM,1.61
FUMAC,NaN
FUMm,1.61
FUMSO3tm,NaN
FUMSO4tm,NaN
FUMtm,NaN
FUMTSULtm,NaN
G3PD1,NaN
G3PD2m,NaN
G5SADrm,NaN
G5SADs,NaN
G5SDym,1.6695
G6PDA,1.903
G6PDH1rer,NaN
G6PDH2r,0.998
G6PDH2rer,0.998
G6PPer,1.59
G6Pter,1.145
GABAVESSEC,NaN
GACMTRc,0.804
GAPD,3.748
GCC2am,0.238
GCC2bim,0.238
GCC2cm,0.238
GCCam,0.238
GCCbim,0.238
GCCcm,0.238
GF6PTA,2.1545
GHMT2r,1.0675
GHMT2rm,2.486
GK1,1.489
GLCMter,NaN
GLCt1r,1.3925
GLCt2_2,NaN
GLCt4,1.7485
GLCter,NaN
GLCURter,NaN
GLNALANaEx,2.1775
GLNASNNaEx,2.1775
GLNCYSNaEx,2.1775
GLNS,2.103
GLNSERNaEx,2.1775
GLNt4,3.1405
GLNTHRNaEx,2.1775
GLNtm,NaN
GLNtN1,NaN
GLU5Km,1.6695
GLUCYS,0.6205
GLUDC,NaN
GLUDxm,1.8545
GLUDym,1.8545
GluForTx,NaN
GLUNm,1.9965
GLUPRT,1.846
GLUt2m,1.0135
GLUTCOADHm,1.0475
GLUVESSEC,NaN
GLXtm,NaN
GLXtp,NaN
GLYAMDTRc,NaN
GLYATm,1.0835
GLYBt4_2_r,NaN
GLYBtm,NaN
GLYC3Ptm,NaN
GLYOp,NaN
GLYt2r,NaN
GLYt4,3.1405
GLYt7_211_r,0.446
GLYtm,NaN
GLYtp,NaN
GLYVESSEC,NaN
GMPS2,2.2825
GND,2.467
GNDer,2.467
GNMT,NaN
GTHO,1.376
GTHOm,1.376
GTHP,2.9765
GTHPm,2.7795
GTHRDt,NaN
GTHS,1.5665
GULNDer,NaN
GULNter,NaN
H2CO3D,NaN
H2O2syn,NaN
H2O2t,NaN
H2O2tm,NaN
H2O2tp,NaN
H2Ot,NaN
H2Oter,NaN
H2Otm,NaN
H2Otp,NaN
HACD1m,2.451
HACD9m,2.2515
HCO3_CLt,0.0865
HEX1,1.4445
HGNTOR,NaN
HIBDm,1.232
HISD,NaN
HISDC,NaN
HISt4,3.1405
HISTAtu,NaN
HISTAVESSEC,0.882
HIStiDF,NaN
HIStN1,NaN
HKYNH,NaN
HMGCOASim,NaN
HMGCOAtm,NaN
HMGLm,0.5565
HOMt4,1.6
Htm,1.636
Htr,NaN
Htx,NaN
ICDHxm,1.6415
ICDHy,2.292
ICDHyrm,1.0405
ILEt4,NaN
ILEt5m,NaN
ILETA,3.0275
ILETAm,1.5435
ILEtec,NaN
IZPN,NaN
KCC2t,NaN
KYN3OX,NaN
KYNAKGAT,0.4045
KYNATESYN,NaN
LDH_L,3.3095
LEUt4,2.405
LEUt5m,NaN
LEUTA,3.0275
LEUTAm,1.5435
LEUtec,NaN
L_LACDcm,0.2205
L_LACt2r,2.4555
L_LACt4r,NaN
LYSt4,NaN
LYStiDF,1.6
LYStm,NaN
MACACI,NaN
MALSO3tm,NaN
MALSO4tm,NaN
MALtm,NaN
MALTSULtm,NaN
MCCCrm,0.9585
MDH,2.6915
MDHm,2.6915
ME1m,0.9745
ME2,1.826
ME2m,0.9745
METAT,2.288
METLEUex,1.2415
METS,1.9885
METt4,3.1405
METtec,NaN
MGCHrm,NaN
MGSA,NaN
MGSA2,NaN
MMEm,0.824
MMMm,1.8065
MMSAD3m,0.2725
MMTSADm,NaN
MTHFC,2.3655
MTHFD,2.3655
MTHGXLt,NaN
NADH2_u10m,0.5845
NADHtpu,NaN
NADHtru,NaN
NADPHtru,NaN
NADPtru,NaN
NADtpu,NaN
NADtru,NaN
NAHCO3_HCLt,NaN
NAt,1.7485
NAt3_1,0.846
NAt5,NaN
NCCt,NaN
NDPK1,1.8765
NDPK1m,1.7915
NDPK2,1.8765
NDPK3,1.8765
NDPK4,1.8765
NDPK5,1.8765
NDPK8,1.8765
NDPK9,1.8765
NH4t3r,NaN
NH4tp,NaN
NKCC2t,1.777
NRPPHRt4_2_r,NaN
NRPPHRtu,NaN
NRPPHRVESSEC,0.882
NTD7,1.183
O2St,NaN
O2Stm,NaN
O2Stx,NaN
O2t,NaN
O2ter,NaN
O2tm,NaN
O2tp,NaN
OBDHc,NaN
OCBTm,NaN
OIVD1m,1.5845
OIVD2m,1.5845
OIVD3m,1.5845
ORNDC,1.816
ORNt3m,NaN
ORNt4m,NaN
ORNTArm,1.93
ORNtiDF,1.6
OXAHCOtex,2.308
P5CDm,NaN
P5CRm,1.3765
P5CRxm,1.3765
PCLAD,NaN
PCm,NaN
PCREATtmdiffir,NaN
PDHm,1.674
PE_HStm,NaN
PEPCK,NaN
PEPCKm,1.7635
PFK,1.973
PGCD,2.683
PGI,2.7065
PGK,2.6745
PGL,0.636
PGLer,NaN
PGM,2.1
PHEt4,3.1405
PHEtec,NaN
PIt7,NaN
PIter,1.145
PPA,2.3085
PPAm,2.307
PPCOACm,NaN
PPCOAOm,2.004
PPItr,NaN
PPM,1.632
PRFGS,1.6605
PRO1xm,NaN
PROD2m,NaN
PROt2r,NaN
PROt4,3.1405
PRPNCOAHYDm,2.451
PRPPS,1.9125
PSERT,3.0775
PSFLIPm,NaN
PSP_L,2.2045
PTRCOX1,NaN
PUNP1,0.93
PYK,2.9735
PYRt2m,2.4555
PYRt2p,2.4555
PYRt2r,2.4555
RETNt,NaN
RPE,2.0145
RPI,0.2635
SACCD3m,2.2125
SACCD4m,2.2125
SARCStm,NaN
SARDHm,NaN
SERALANaEx,2.1775
SERASNNaEx,2.1775
SERCYSNaEx,2.1775
SERGLNexR,2.405
SERGLNNaEx,2.1775
SERGLYexR,2.405
SERHL,NaN
SERLYSNaex,NaN
SERt4,3.1405
SERTHRNaEx,2.1775
SERtN1,NaN
SO4CLtex2,NaN
SO4HCOtex,2.308
SO4OXAtex2,NaN
SO4t4_2,NaN
SPMDOX,NaN
SPMS,1.1915
SPODM,2.6945
SPODMe,NaN
SPODMm,1.3345
SPODMx,2.6945
SPRMS,2.1035
SUCCt2m,NaN
SUCCt4_2,NaN
SUCD1m,0.642
SUCOAS1m,0.79
SUCOASm,1.879
SULFOX,NaN
TALA,2.133
THD1m,1.602
THRALANaEx,2.1775
THRASNNaEx,2.1775
THRCYSNaEx,2.1775
THRD_L,NaN
THRGLNexR,2.405
THRGLNNaEx,2.1775
THRGLYexR,2.405
THRSERNaEx,2.1775
THRt4,3.1405
TKT1,1.7565
TKT2,1.7565
TPI,3.44
TRPO2,1.7325
TRPt,0.985
TRPt4,NaN
TYRt,NaN
TYRt4,NaN
TYRTA,2.0925
UDPGLCAter,1.04
UMPK,1.8965
UMPK2,1.8965
UMPK3,1.8965
UMPK4,1.8965
UMPK5,1.8965
UMPK7,1.8965
UMPtr,NaN
URCN,NaN
UREAt,NaN
UREAt5,NaN
UREAtm,NaN
VALt4,NaN
VALt5m,NaN
VALTA,3.0275
VALTAm,1.5435
VALtec,NaN
XYLUR,1.215
EX_fald_e,NaN
EX_ptrc_e,NaN
EX_spmd_e,NaN
r0010,1.977
r0021,1.376
r0022,1.376
r0028,0.8435
r0034,NaN
r0055,NaN
r0060,NaN
r0062,NaN
r0074,NaN
r0081,1.168
r0085,2.074
r0086,2.074
r0119,1.6875
r0122,NaN
r0127,NaN
r0142,NaN
r0153,NaN
r0156,NaN
r0157,NaN
r0165,NaN
r0173,3.3095
r0178,NaN
r0179,NaN
r0191,0.8765
r0202,NaN
r0249,0.2635
r0280,NaN
r0295,NaN
r0301,2.2825
r0317,1.5835
r0354,1.1375
r0355,1.1375
r0365,NaN
r0398,0.244
r0399,NaN
r0413,NaN
r0426,1.5835
r0450,NaN
r0464,1.9025
r0483,NaN
r0509,0.642
r0525,2.2125
r0541,1.0475
r0549,1.9025
r0552,1.8645
r0553,1.8645
r0560,NaN
r0570,1.632
r0596,2.003
r0645,NaN
r0647,NaN
r0655,2.004
r0669,2.2795
r0683,2.004
r0779,2.003
r0784,NaN
r0792,NaN
r0801,1.861
r0812,1.833
r0817,NaN
r0819,NaN
r0821,NaN
r0822,NaN
r0829,NaN
r0830,NaN
r0838,NaN
r0839,NaN
r0840,NaN
r0841,NaN
r0860,NaN
r0879,NaN
r0881,NaN
r0885,NaN
r0899,NaN
r0911,NaN
r0913,1.3095
r0915,1.3095
r0917,1.3095
r0924,NaN
r0941,NaN
r0942,NaN
r0944,NaN
r0946,NaN
r1030,NaN
r1050,NaN
r1051,NaN
r1052,NaN
r1088,NaN
r1090,1.3095
r1109,NaN
r1143,NaN
r1144,NaN
r1147,1.3095
r1154,0.52
r1155,2.4555
r1162,NaN
r1291,NaN
r1421,NaN
r1427,NaN
r1428,NaN
r1429,NaN
r1434,NaN
r1435,NaN
r1453,NaN
r1454,2.4555
r1464,NaN
r1493,NaN
r1530,NaN
r1538,NaN
r1544,1.2415
r1546,1.2415
r1547,1.2415
r1548,1.2415
r1549,1.2415
r1551,1.2415
r1552,1.2415
r1553,1.2415
r1554,1.2415
r1556,1.2415
r1557,1.2415
r1559,1.2415
r1560,1.2415
r1561,1.2415
r1562,1.2415
r1563,1.2415
r1564,1.2415
r1565,1.2415
r1566,1.2415
r1567,1.2415
r1568,1.2415
r1569,1.2415
r1570,1.2415
r1571,1.2415
r1573,1.2415
r1574,1.2415
r1575,1.2415
r1576,1.2415
r1578,1.2415
r1579,1.2415
r1580,1.2415
r1581,1.2415
r1583,1.2415
r1584,1.2415
r1585,1.2415
r1586,1.2415
r1587,1.2415
r1588,1.2415
r1589,1.2415
r1590,1.2415
r1591,1.2415
r1592,1.2415
r1593,1.2415
