Var1,ASP14_i10_plus_midlow
O2tm,NaN
O2tp,NaN
OBDHc,NaN
OCBTm,NaN
OIVD1m,1.212
OIVD2m,1.212
OIVD3m,1.212
ORNDC,1.616
ORNt3m,NaN
ORNt4m,NaN
ORNTArm,2.428
ORNtiDF,1.473
OXAHCOtex,1.509
P5CDm,NaN
P5CRm,1.181
P5CRxm,1.181
PCLAD,NaN
PCm,NaN
PCREATtmdiffir,NaN
PDHm,1.589
PE_HStm,NaN
PEPCK,NaN
PEPCKm,NaN
PFK,1.944
PGCD,2.18
PGI,2.494
PGK,2.671
PGL,0.768
PGLer,0.252
PGM,2.249
PHEt4,3.168
PHEtec,NaN
PIt7,NaN
PIter,NaN
PPA,2.382
PPAm,2.167
PPCOACm,NaN
PPCOAOm,1.83
PPItr,NaN
PPM,1.236
PRFGS,1.298
PRO1xm,NaN
PROD2m,NaN
PROt2r,NaN
PROt4,3.168
PRPNCOAHYDm,2.392
PRPPS,1.637
PSERT,1.902
PSFLIPm,NaN
PSP_L,1.629
PTRCOX1,NaN
PUNP1,1.363
PYK,3.088
PYRt2m,2.45
PYRt2p,2.45
PYRt2r,2.45
RETNt,NaN
RPE,1.879
RPI,NaN
SACCD3m,1.734
SACCD4m,1.734
SARCStm,NaN
SARDHm,NaN
SERALANaEx,1.982
SERASNNaEx,1.982
SERCYSNaEx,1.982
SERGLNexR,2.008
SERGLNNaEx,1.982
SERGLYexR,2.008
SERHL,NaN
SERLYSNaex,NaN
SERt4,3.168
SERTHRNaEx,1.982
SERtN1,NaN
SO4CLtex2,NaN
SO4HCOtex,1.509
SO4OXAtex2,NaN
SO4t4_2,NaN
SPMDOX,NaN
SPMS,1.5
SPODM,2.714
SPODMe,NaN
SPODMm,1.689
SPODMx,2.714
SPRMS,2.409
SUCCt2m,NaN
SUCCt4_2,NaN
SUCD1m,0.667
SUCOAS1m,0.832
SUCOASm,1.693
SULFOX,NaN
TALA,2.163
THD1m,1.604
THRALANaEx,1.982
THRASNNaEx,1.982
THRCYSNaEx,1.982
THRD_L,NaN
THRGLNexR,2.008
THRGLNNaEx,1.982
THRGLYexR,2.008
THRSERNaEx,1.982
THRt4,3.168
TKT1,2.012
TKT2,2.012
TPI,3.382
TRPO2,3.251
TRPt,1.101
TRPt4,NaN
TYRt,NaN
TYRt4,NaN
TYRTA,1.864
UDPGLCAter,1.444
UMPK,2.311
UMPK2,2.311
UMPK3,2.311
UMPK4,2.311
UMPK5,2.311
UMPK7,2.311
UMPtr,NaN
URCN,NaN
UREAt,NaN
UREAt5,NaN
UREAtm,NaN
VALt4,NaN
VALt5m,NaN
VALTA,3.02
VALTAm,1.222
VALtec,NaN
XYLUR,0.948
EX_fald_e,NaN
EX_ptrc_e,NaN
EX_spmd_e,NaN
r0010,1.826
r0021,1.316
r0022,1.316
r0028,0.564
r0034,NaN
r0055,NaN
r0060,NaN
r0062,NaN
r0074,NaN
r0081,0.537
r0085,1.909
r0086,1.909
r0119,1.664
r0122,NaN
r0127,NaN
r0142,NaN
r0153,NaN
r0156,NaN
r0157,NaN
r0165,NaN
r0173,3.156
r0178,NaN
r0179,NaN
r0191,0.918
r0202,NaN
r0249,NaN
r0280,NaN
r0295,NaN
r0301,2.043
r0317,1.382
r0354,1.036
r0355,1.036
r0365,NaN
r0398,0.575
r0399,NaN
r0413,NaN
r0426,1.382
r0450,NaN
r0464,1.976
r0483,NaN
r0509,0.667
r0525,1.734
r0541,0.307
r0549,1.976
r0552,1.861
r0553,1.861
r0560,NaN
r0570,1.236
r0596,1.92
r0645,NaN
r0647,NaN
r0655,1.83
r0669,2.371
r0683,1.83
r0779,1.92
r0784,NaN
r0792,NaN
r0801,1.774
r0812,1.495
r0817,NaN
r0819,NaN
r0821,NaN
r0822,NaN
r0829,NaN
r0830,NaN
r0838,NaN
r0839,NaN
r0840,NaN
r0841,NaN
r0860,NaN
r0879,NaN
r0881,NaN
r0885,NaN
r0899,NaN
r0911,NaN
r0913,1.509
r0915,1.509
r0917,1.509
r0924,NaN
r0941,NaN
r0942,NaN
r0944,NaN
r0946,NaN
r1030,NaN
r1050,NaN
r1051,NaN
r1052,NaN
r1088,NaN
r1090,1.509
r1109,NaN
r1143,NaN
r1144,NaN
r1147,1.509
r1154,1.212
r1155,2.45
r1162,NaN
r1291,NaN
r1421,NaN
r1427,NaN
r1428,NaN
r1429,NaN
r1434,NaN
r1435,NaN
r1453,NaN
r1454,2.45
r1464,NaN
r1493,NaN
r1530,NaN
r1538,NaN
r1544,0.677
r1546,0.677
r1547,0.677
r1548,0.677
r1549,0.677
r1551,0.677
r1552,0.677
r1553,0.677
r1554,0.677
r1556,0.677
r1557,0.677
r1559,0.677
r1560,0.677
r1561,0.677
r1562,0.677
r1563,0.677
r1564,0.677
r1565,0.677
r1566,0.677
r1567,0.677
r1568,0.677
r1569,0.677
r1570,0.677
r1571,0.677
r1573,0.677
r1574,0.677
r1575,0.677
r1576,0.677
r1578,0.677
r1579,0.677
r1580,0.677
r1581,0.677
r1583,0.677
r1584,0.677
r1585,0.677
r1586,0.677
r1587,0.677
r1588,0.677
r1589,0.677
r1590,0.677
r1591,0.677
r1592,0.677
r1593,0.677
r1594,0.677
r1595,0.677
r1596,0.677
r1597,0.677
r1598,0.677
r1599,0.677
r1600,0.677
r1602,0.677
r1603,0.677
r1604,0.677
r1605,0.677
r1606,0.677
r1607,0.677
r1608,0.677
r1609,0.677
r1610,0.677
r1611,0.677
r1612,0.677
r1613,0.677
r1614,0.677
r1615,0.677
r1616,0.677
r1617,0.677
r1618,0.677
r1619,0.677
r1620,0.677
r1621,0.677
r1622,0.677
r1623,0.677
r1624,0.677
r1625,0.677
r1626,0.677
r1627,0.677
r1628,0.677
r1629,0.677
r1630,0.677
r1631,0.677
r1632,0.677
r1633,0.677
r1634,0.677
r1635,0.677
r1636,0.677
r1637,0.677
r1638,0.677
r1639,0.677
r1640,0.677
r1641,0.677
r1642,0.677
r1643,0.677
r1644,0.677
r1645,0.677
r1646,0.677
r1647,0.677
r1648,0.677
r1649,0.677
r1650,0.677
r1651,0.677
r1652,0.677
r1653,0.677
r1654,0.677
r1655,0.677
r1656,0.677
r1657,0.677
r1658,0.677
r1659,0.677
r1660,0.677
r1661,0.677
r1662,0.677
r1664,1.024
r1665,1.024
r1666,1.024
r1667,1.024
r1668,1.024
r1669,1.024
r1670,1.024
r1671,1.024
r1672,1.024
r1673,1.024
r1674,1.024
r1675,1.024
r1676,1.024
r1677,1.024
r1678,1.024
r1679,1.024
r1680,1.024
r1681,1.024
r1682,1.024
